Source,Target,Type,Label
naku,npe,Undirected,Gleiche Gruppe
naku,tamp,Undirected,Gleiche Gruppe
naku,veva,Undirected,Gleiche Gruppe
naku,vmo,Undirected,Gleiche Gruppe
naku,waem,Undirected,Gleiche Gruppe
npe,tamp,Undirected,Gleiche Gruppe
npe,veva,Undirected,Gleiche Gruppe
npe,vmo,Undirected,Gleiche Gruppe
npe,waem,Undirected,Gleiche Gruppe
tamp,veva,Undirected,Gleiche Gruppe
tamp,vmo,Undirected,Gleiche Gruppe
tamp,waem,Undirected,Gleiche Gruppe
veva,vmo,Undirected,Gleiche Gruppe
veva,waem,Undirected,Gleiche Gruppe
vmo,waem,Undirected,Gleiche Gruppe
aem,am,Undirected,Gleiche Gruppe
aem,amat,Undirected,Gleiche Gruppe
aem,apd,Undirected,Gleiche Gruppe
aem,c1d,Undirected,Gleiche Gruppe
aem,c1m,Undirected,Gleiche Gruppe
aem,dpev1,Undirected,Gleiche Gruppe
aem,dpev2,Undirected,Gleiche Gruppe
aem,flm3,Undirected,Gleiche Gruppe
aem,flm4,Undirected,Gleiche Gruppe
aem,kt1,Undirected,Gleiche Gruppe
aem,kt2,Undirected,Gleiche Gruppe
aem,mant1,Undirected,Gleiche Gruppe
aem,mant2,Undirected,Gleiche Gruppe
aem,mea,Undirected,Gleiche Gruppe
aem,thd3,Undirected,Gleiche Gruppe
aem,thd4,Undirected,Gleiche Gruppe
aem,wueb,Undirected,Gleiche Gruppe
am,amat,Undirected,Gleiche Gruppe
am,apd,Undirected,Gleiche Gruppe
am,c1d,Undirected,Gleiche Gruppe
am,c1m,Undirected,Gleiche Gruppe
am,dpev1,Undirected,Gleiche Gruppe
am,dpev2,Undirected,Gleiche Gruppe
am,flm3,Undirected,Gleiche Gruppe
am,flm4,Undirected,Gleiche Gruppe
am,kt1,Undirected,Gleiche Gruppe
am,kt2,Undirected,Gleiche Gruppe
am,mant1,Undirected,Gleiche Gruppe
am,mant2,Undirected,Gleiche Gruppe
am,mea,Undirected,Gleiche Gruppe
am,thd3,Undirected,Gleiche Gruppe
am,thd4,Undirected,Gleiche Gruppe
am,wueb,Undirected,Gleiche Gruppe
amat,apd,Undirected,Gleiche Gruppe
amat,c1d,Undirected,Gleiche Gruppe
amat,c1m,Undirected,Gleiche Gruppe
amat,dpev1,Undirected,Gleiche Gruppe
amat,dpev2,Undirected,Gleiche Gruppe
amat,flm3,Undirected,Gleiche Gruppe
amat,flm4,Undirected,Gleiche Gruppe
amat,kt1,Undirected,Gleiche Gruppe
amat,kt2,Undirected,Gleiche Gruppe
amat,mant1,Undirected,Gleiche Gruppe
amat,mant2,Undirected,Gleiche Gruppe
amat,mea,Undirected,Gleiche Gruppe
amat,thd3,Undirected,Gleiche Gruppe
amat,thd4,Undirected,Gleiche Gruppe
amat,wueb,Undirected,Gleiche Gruppe
apd,c1d,Undirected,Gleiche Gruppe
apd,c1m,Undirected,Gleiche Gruppe
apd,dpev1,Undirected,Gleiche Gruppe
apd,dpev2,Undirected,Gleiche Gruppe
apd,flm3,Undirected,Gleiche Gruppe
apd,flm4,Undirected,Gleiche Gruppe
apd,kt1,Undirected,Gleiche Gruppe
apd,kt2,Undirected,Gleiche Gruppe
apd,mant1,Undirected,Gleiche Gruppe
apd,mant2,Undirected,Gleiche Gruppe
apd,mea,Undirected,Gleiche Gruppe
apd,thd3,Undirected,Gleiche Gruppe
apd,thd4,Undirected,Gleiche Gruppe
apd,wueb,Undirected,Gleiche Gruppe
c1d,c1m,Undirected,Gleiche Gruppe
c1d,dpev1,Undirected,Gleiche Gruppe
c1d,dpev2,Undirected,Gleiche Gruppe
c1d,flm3,Undirected,Gleiche Gruppe
c1d,flm4,Undirected,Gleiche Gruppe
c1d,kt1,Undirected,Gleiche Gruppe
c1d,kt2,Undirected,Gleiche Gruppe
c1d,mant1,Undirected,Gleiche Gruppe
c1d,mant2,Undirected,Gleiche Gruppe
c1d,mea,Undirected,Gleiche Gruppe
c1d,thd3,Undirected,Gleiche Gruppe
c1d,thd4,Undirected,Gleiche Gruppe
c1d,wueb,Undirected,Gleiche Gruppe
c1m,dpev1,Undirected,Gleiche Gruppe
c1m,dpev2,Undirected,Gleiche Gruppe
c1m,flm3,Undirected,Gleiche Gruppe
c1m,flm4,Undirected,Gleiche Gruppe
c1m,kt1,Undirected,Gleiche Gruppe
c1m,kt2,Undirected,Gleiche Gruppe
c1m,mant1,Undirected,Gleiche Gruppe
c1m,mant2,Undirected,Gleiche Gruppe
c1m,mea,Undirected,Gleiche Gruppe
c1m,thd3,Undirected,Gleiche Gruppe
c1m,thd4,Undirected,Gleiche Gruppe
c1m,wueb,Undirected,Gleiche Gruppe
dpev1,dpev2,Undirected,Gleiche Gruppe
dpev1,flm3,Undirected,Gleiche Gruppe
dpev1,flm4,Undirected,Gleiche Gruppe
dpev1,kt1,Undirected,Gleiche Gruppe
dpev1,kt2,Undirected,Gleiche Gruppe
dpev1,mant1,Undirected,Gleiche Gruppe
